Marca,Submarca,Versión,Modelo,Trans.,Comb.,Cilindros,Potencia (HP),Tamaño (L),Categoría,R. Ciudad (km/l),R. Carr. (km/l),R. Comb. (km/l),R. Ajust. (km/l),CO2(g/km),NOx (g/1000km),Calificación Gas Ef. Inv.,Calificación Contam. Aire
FORD,FUSION,HIBRIDO 4PTS 2.0L 4CIL 188HP AUT (CVT),2015,CVT,Gasolina,4,188,2.0,AUTOS COMPACTOS,27.44,28.57,28.93,21.70,107.00,5.00,10,9
FORD,FUSION,HIBRIDO 4PTS 2.0L 4CIL 188HP AUT (eCVT),2016,CVT,Gasolina,4,188,2.0,AUTOS COMPACTOS,27.44,28.57,28.93,21.70,107.00,0.00,10,9
FORD,FUSION,HIBRIDO 4X2 4PTAS 2.0L 4CIL 141(+47e)HP E-CVT,2017,CVT,Gasolina,4,188,2.0,AUTOS COMPACTOS,25.62,24.77,25.23,18.92,123.00,2.00,10,9
FORD,FUSION,HIBRIDO 4PTAS 2.0L 4CIL 188HP AUT eCVT,2018,AUT,Gasolina,4,188,2.0,AUTOS COMPACTOS,25.62,24.77,25.23,18.92,123.00,2.00,10,9
FORD,FUSION,HYBRID 4PTS 2.5L 4CIL 156HP CVT,2011,CVT,Gasolina,4,156,2.5,AUTOS COMPACTOS,24.00,21.90,23.01,17.26,135.00,5.00,9,9
FORD,FUSION,HYBRID 4PTS 2.5L 4CIL 156HP CVT,2012,CVT,Gasolina,4,156,2.5,AUTOS COMPACTOS,24.00,21.90,23.01,17.26,135.00,6.00,9,9
HONDA,CIVIC,HÍBRIDO 4PTS 1.5L 4CIL 90HP CVT,2013,CVT,Gasolina,4,90,1.5,AUTOS COMPACTOS,23.80,26.70,26.15,19.61,119.00,7.00,10,9
HONDA,CIVIC,HÍBRIDO 4PTS 1.5L 4CIL 90HP CVT,2014,CVT,Gasolina,4,90,1.5,AUTOS COMPACTOS,23.80,26.70,26.15,19.61,119.00,7.00,10,9
HONDA,CIVIC,HÍBRIDO 4PTS 1.5L 4CIL 90HP CVT,2012,CVT,Gasolina,4,90,1.5,AUTOS COMPACTOS,23.20,26.10,24.42,18.32,127.00,7.00,9,9
HONDA,CIVIC HIBRIDO,4PTS 1.3L 4CIL 110HP CVT,2011,CVT,Gasolina,4,110,1.3,AUTOS COMPACTOS,21.80,25.40,23.29,17.46,134.00,10.00,9,9
SEAT,TOLEDO,SEDAN 4PUERTAS 1.2L 4CIL 105HP MAN TURBO,2015,MAN,Gasolina,4,105,1.2,AUTOS COMPACTOS,17.50,22.80,19.54,14.66,159.00,15.00,8,8
SEAT,TOLEDO,4PTAS 1.4L 4CIL125HP DSG TURBO,2016,DSG,Gasolina,4,125,1.4,AUTOS COMPACTOS,17.30,27.00,20.64,15.48,151.00,25.00,9,6
SEAT,TOLEDO,4PTAS 1.4L 4CIL125HP DSG TURBO,2017,DSG,Gasolina,4,125,1.4,AUTOS COMPACTOS,17.30,27.00,20.64,15.48,151.00,25.00,9,6
MAZDA,MAZDA2,HATCHBACK 5PTAS 1.5L 4CIL 102HP AUT,2016,AUT,Gasolina,4,102,1.5,AUTOS COMPACTOS,17.30,24.00,19.79,14.84,157.00,9.00,8,9
MAZDA,MAZDA2,i TOURING 5PTAS 1.5L 4CIL 106HP AUT R15,2016,AUT,Gasolina,4,106,1.5,AUTOS COMPACTOS,17.30,24.00,21.10,15.83,147.00,9.00,9,9
MAZDA,MAZDA2,i GRAND TOURING 5PTAS 1.5L 4CIL 106HP AUT R16,2016,AUT,Gasolina,4,106,1.5,AUTOS COMPACTOS,17.30,24.00,21.10,15.83,147.00,9.00,9,9
MAZDA,MAZDA2,i 5PTAS 1.5L 4CIL 106HP AUT,2017,AUT,Gasolina,4,106,1.5,AUTOS COMPACTOS,17.30,24.00,21.10,15.83,147.00,9.00,9,9
MAZDA,MAZDA2,i TOURING 5PTAS 1.5L 4CIL 106HP AUT,2017,AUT,Gasolina,4,106,1.5,AUTOS COMPACTOS,17.30,24.00,21.10,15.83,147.00,9.00,9,9
MAZDA,MAZDA2,i GRAND TOURING 5PTAS 1.5L 4CIL 106HP AUT,2017,AUT,Gasolina,4,106,1.5,AUTOS COMPACTOS,17.30,24.00,21.10,15.83,147.00,9.00,9,9
CHEVROLET,CRUZE,LS 4PTAS 1.4L 4CIL 148HP AUT TURBO,2017,AUT,Gasolina,4,148,1.4,AUTOS COMPACTOS,17.14,28.41,22.15,16.61,140.00,13.00,9,?
CHEVROLET,CRUZE,LT 4PTAS 1.4L 4CIL 148HP AUT TURBO,2017,AUT,Gasolina,4,148,1.4,AUTOS COMPACTOS,17.14,28.41,22.15,16.61,140.00,13.00,9,?
VW,GOLF,A7 5PTS 1.4L 4CIL 140HP DSG TURBO FSI,2015,DSG,Gasolina,4,140,1.4,AUTOS COMPACTOS,17.10,27.90,20.71,15.53,150.00,41.00,9,6
VW,JETTA,MKVI 4PTS 2.0L 4CIL 140HP DSG TURBO DIESEL,2015,DSG,Diesel,4,140,2.0,AUTOS COMPACTOS,17.00,26.10,21.47,16.10,166.00,95.00,8,?
VW,JETTA,MKVI 4PTAS 2.0L 4CIL 140HP DSG TURBO DIESEL,2016,DSG,Diesel,4,140,2.0,AUTOS COMPACTOS,17.00,26.10,21.47,16.10,166.00,95.00,8,?
CHEVROLET,CRUZE,LS 4PTAS 1.4L 4CIL 148HP MAN TURBO,2017,MAN,Gasolina,4,148,1.4,AUTOS COMPACTOS,16.99,27.12,21.72,16.29,143.00,31.00,9,?
SEAT,TOLEDO,4PTAS 1.2L 4CIL110HP MAN,2016,MAN,Gasolina,4,110,1.2,AUTOS COMPACTOS,16.90,26.70,20.24,15.18,154.00,19.00,8,7
SEAT,TOLEDO,4PTAS 1.2L 4CIL110HP MAN,2017,MAN,Gasolina,4,110,1.2,AUTOS COMPACTOS,16.90,26.70,20.24,15.18,154.00,19.00,8,7
CHEVROLET,CAVALIER,LT 4PTAS 1.5L 4CIL 107HP AUT,2018,AUT,Gasolina,4,107,1.5,AUTOS COMPACTOS,16.59,24.15,20.64,15.48,151.00,36.00,9,?
CHEVROLET,CAVALIER,PREMIER 4PTAS 1.5L 4CIL 107HP AUT,2018,AUT,Gasolina,4,107,1.5,AUTOS COMPACTOS,16.59,24.15,20.64,15.48,151.00,36.00,9,?
SUZUKI,S-CROSS,2WD 5PTAS 1.6L 4CIL118HP CVT,2016,CVT,Gasolina,4,118,1.6,AUTOS COMPACTOS,16.50,21.70,18.49,13.87,168.00,7.00,8,9
SUZUKI,S-CROSS,2WD 5PTAS 1.6L 4CIL118HP CVT,2015,CVT,Gasolina,4,118,1.6,AUTOS COMPACTOS,16.50,21.70,18.49,13.87,168.00,7.00,8,9
SUZUKI,S-CROSS,2WD 5PTAS 1.6L 4CIL118HP CVT,2017,CVT,Gasolina,4,118,1.6,AUTOS COMPACTOS,16.50,21.70,18.49,13.87,168.00,7.00,8,9
CHEVROLET,CRUZE,LS 4PTAS 1.4L 4CIL 148HP TURBO MAN,2018,MAN,Gasolina,4,148,1.4,AUTOS COMPACTOS,16.45,26.88,19.93,14.95,156.00,58.00,8,5
MAZDA,MAZDA2,HATCHBACK 5PTAS 1.5L 4CIL 102HP MAN,2016,MAN,Gasolina,4,102,1.5,AUTOS COMPACTOS,16.30,23.50,18.91,14.18,164.00,8.00,8,9
MAZDA,MAZDA2,i TOURING 5PTAS 1.5L 4CIL 106HP MAN R15,2016,MAN,Gasolina,4,106,1.5,AUTOS COMPACTOS,16.30,23.50,20.24,15.18,154.00,8.00,8,9
MAZDA,MAZDA2,i 5PTAS 1.5L 4CIL 106HP MAN,2017,MAN,Gasolina,4,106,1.5,AUTOS COMPACTOS,16.30,23.50,20.24,15.18,154.00,8.00,8,9
MAZDA,MAZDA2,i TOURING 5PTAS 1.5L 4CIL 106HP MAN,2017,MAN,Gasolina,4,106,1.5,AUTOS COMPACTOS,16.30,23.50,20.24,15.18,154.00,8.00,8,9
VW,GOLF,A7 5PTS 1.4L 4CIL 140HP MAN TURBO FSI,2015,MAN,Gasolina,4,140,1.4,AUTOS COMPACTOS,16.20,26.70,19.68,14.76,158.00,23.00,8,7
CHEVROLET,CRUZE,PPREMIER 4PTAS 1.4L 4CIL 148HP AUT TURBO,2017,AUT,Gasolina,4,148,1.4,AUTOS COMPACTOS,16.14,26.10,20.81,15.61,149.00,11.00,9,9
SUZUKI,S-CROSS,4WD 5PTAS 1.6L 4CIL118HP CVT,2016,CVT,Gasolina,4,118,1.6,AUTOS COMPACTOS,16.00,19.90,17.55,13.16,177.00,6.00,8,9
SUZUKI,S-CROSS,4WD 5PTAS 1.6L 4CIL118HP CVT,2015,CVT,Gasolina,4,118,1.6,AUTOS COMPACTOS,16.00,19.90,17.55,13.16,177.00,6.00,8,9
VW,GOLF,A7 CROSSGOLF 5PTAS 1.4L 4CIL 150HP DSG,2016,DSG,Gasolina,4,150,1.4,AUTOS COMPACTOS,15.90,25.20,19.07,14.30,163.00,71.00,8,4
VW,GOLF,A7 CROSSGOLF 5PTAS 1.4L 4CIL 150HP DSG,2017,DSG,Gasolina,4,150,1.4,AUTOS COMPACTOS,15.90,25.20,19.07,14.30,163.00,71.00,8,4
CHEVROLET,CRUZE,LT 4PTAS 1.4L 4CIL 148HP TURBO AUT,2018,AUT,Gasolina,4,148,1.4,AUTOS COMPACTOS,15.84,25.87,19.19,14.39,162.00,10.00,8,9
NISSAN,SENTRA,4PTS 1.8L 4CIL 129HP CVT XTRONIC,2013,CVT,Gasolina,4,129,1.8,AUTOS COMPACTOS,15.70,23.25,18.39,13.79,169.00,19.00,8,7
MAZDA,MAZDA3,SEDAN 4PTS 2.0L 4CIL 153HP AUT,2014,AUT,Gasolina,4,153,2.0,AUTOS COMPACTOS,15.70,23.70,19.86,14.89,157.00,5.00,8,9
MAZDA,MAZDA3,HATCHBACK 5PTS 2.0L 4CIL 153HP AUT,2014,AUT,Gasolina,4,153,2.0,AUTOS COMPACTOS,15.70,23.20,19.72,14.79,158.00,5.00,8,9
NISSAN,SENTRA,4PTS 1.8L 4CIL 129HP CVT,2015,CVT,Gasolina,4,129,1.8,AUTOS COMPACTOS,15.70,23.30,18.40,13.80,169.00,19.00,8,7
MAZDA,MAZDA3,SEDAN 4PTS 2.0L 4CIL 155HP AUT,2015,AUT,Gasolina,4,155,2.0,AUTOS COMPACTOS,15.70,23.70,19.86,14.89,157.00,5.00,8,9
MAZDA,MAZDA3,HATCHBACK 5PTS 2.0L 4CIL 155HP AUT,2015,AUT,Gasolina,4,155,2.0,AUTOS COMPACTOS,15.70,23.20,19.72,14.79,158.00,5.00,8,9
SEAT,TOLEDO,4PTAS 1.6L 4CIL110HP MAN,2016,MAN,Gasolina,4,110,1.6,AUTOS COMPACTOS,15.70,25.80,19.06,14.29,163.00,7.00,8,9
SEAT,TOLEDO,4PTAS 1.6L 4CIL110HP MAN,2017,MAN,Gasolina,4,110,1.6,AUTOS COMPACTOS,15.70,25.80,19.06,14.29,163.00,7.00,8,9
MAZDA,MAZDA3,SEDAN 4PTS 2.0L 4CIL 155HP AUT,2016,AUT,Gasolina,4,155,2.0,AUTOS COMPACTOS,15.70,23.70,19.86,14.89,157.00,5.00,8,9
NISSAN,SENTRA,4PTAS 1.8L 4CIL 129HP MAN,2016,CVT,Gasolina,4,129,1.8,AUTOS COMPACTOS,15.70,23.25,18.39,13.79,169.00,19.00,8,7
MAZDA,MAZDA3,i TOURING 4PTAS 2.0L 4CIL 155HP AUT,2016,AUT,Gasolina,4,155,2.0,AUTOS COMPACTOS,15.70,23.70,19.86,14.89,157.00,10.00,8,9
MAZDA,MAZDA3,i TOURING 5PTAS 2.0L 4CIL 155HP AUT,2016,AUT,Gasolina,4,155,2.0,AUTOS COMPACTOS,15.70,23.20,19.72,14.79,158.00,4.00,8,9
MAZDA,MAZDA3,i 4PTAS 2.0L 4CIL 155HP AUT,2017,AUT,Gasolina,4,155,2.0,AUTOS COMPACTOS,15.70,23.70,19.86,14.89,157.00,2.00,8,9
MAZDA,MAZDA3,i 5PTAS 2.0L 4CIL 155HP AUT,2017,AUT,Gasolina,4,155,2.0,AUTOS COMPACTOS,15.70,23.20,19.72,14.79,158.00,4.00,8,9
SEAT,TOLEDO,4PTS 1.2L 4CIL 105HP MAN TURBO,2013,MAN,Gasolina,4,105,1.2,AUTOS COMPACTOS,15.69,26.53,19.22,14.42,162.00,16.00,8,8
HYUNDAI,ELANTRA,4PTAS 2.0L 4CIL 150HP MAN,2018,MAN,Gasolina,4,150,2.0,AUTOS COMPACTOS,15.68,23.84,18.53,13.90,168.00,28.00,8,6
CHEVROLET,CRUZE,LS 4PTAS 1.4L 4CIL 148HP TURBO AUT,2018,AUT,Gasolina,4,148,1.4,AUTOS COMPACTOS,15.57,24.89,18.72,14.04,166.00,9.00,8,9
VW,BEETLE,2PTS 1.2L 4CIL 104HP MAN TURBO,2012,MAN,Gasolina,4,104,1.2,AUTOS COMPACTOS,15.54,21.78,17.84,13.38,174.00,11.00,8,9
VW,BEETLE,2PTS 1.2L 4CIL 104HP MAN TURBO,2013,MAN,Gasolina,4,104,1.2,AUTOS COMPACTOS,15.54,21.78,17.84,13.38,174.00,11.00,8,9
FORD,FOCUS,SEDAN 4PTS 2.0L 4CIL 160HP AUT,2016,AUT,Gasolina,4,160,2.0,AUTOS COMPACTOS,15.54,24.84,18.69,14.02,166.00,19.00,8,8
FORD,FOCUS,HATCHBACK 5PTS 2.0L 4CIL 160HP AUT,2016,AUT,Gasolina,4,160,2.0,AUTOS COMPACTOS,15.54,24.84,18.69,14.02,166.00,19.00,8,8
VW,GOLF,A7 5PTAS 1.4L 4CIL 150HP DSG TURBO FSI,2016,DSG,Gasolina,4,150,1.4,AUTOS COMPACTOS,15.50,24.50,18.57,13.93,167.00,83.00,8,4
VW,GOLF,A7 5PTAS 1.4L 4CIL 150HP DSG TURBO FSI,2017,DSG,Gasolina,4,150,1.4,AUTOS COMPACTOS,15.50,24.50,18.57,13.93,167.00,83.00,8,4
MAZDA,CX-3,WAGON 4X2 5PTS 2.0L 4CIL 146HP AUT,2016,AUT,Gasolina,4,146,2.0,AUTOS COMPACTOS,15.50,21.20,19.00,14.25,164.00,6.00,8,9
MAZDA,CX-3,i SPORT 2WD 5PTAS 2.0L 4CIL 148HP AUT R16,2016,AUT,Gasolina,4,148,2.0,AUTOS COMPACTOS,15.50,21.20,17.63,13.23,176.00,5.00,8,9
MAZDA,CX-3,i 2WD 5PTAS 2.0L 4CIL 148HP AUT R16,2017,AUT,Gasolina,4,148,2.0,AUTOS COMPACTOS,15.50,21.20,17.63,13.23,176.00,5.00,8,9
MAZDA,CX-3,i SPORT 2WD 5PTAS 2.0L 4CIL 148HP AUT R16,2017,AUT,Gasolina,4,148,2.0,AUTOS COMPACTOS,15.50,21.20,17.63,13.23,176.00,5.00,8,9
MAZDA,MAZDA3,SEDAN 4PTS 2.0L 4CIL 153HP MAN,2014,MAN,Gasolina,4,153,2.0,AUTOS COMPACTOS,15.40,23.50,19.58,14.68,159.00,5.00,8,9
MAZDA,MAZDA3,SEDAN 4PTS 2.0L 4CIL 155HP MAN,2015,MAN,Gasolina,4,155,2.0,AUTOS COMPACTOS,15.40,23.50,19.58,14.68,159.00,5.00,8,9
MAZDA,MAZDA3,SEDAN 4PTS 2.0L 4CIL 155HP MAN,2016,MAN,Gasolina,4,155,2.0,AUTOS COMPACTOS,15.40,23.50,19.58,14.68,159.00,5.00,8,9
MAZDA,MAZDA3,i TOURING 4PTAS 2.0L 4CIL 155HP MAN,2016,MAN,Gasolina,4,155,2.0,AUTOS COMPACTOS,15.40,23.50,19.58,14.68,159.00,5.00,8,9
MAZDA,CX-3,i GRAND TOURING 2WD 5PTAS 2.0L 4CIL 148HP AUT R18,2016,AUT,Gasolina,4,148,2.0,AUTOS COMPACTOS,15.40,21.00,17.50,13.13,178.00,4.00,8,9
MAZDA,CX-3,i GRAND TOURING 2WD 5PTAS 2.0L 4CIL 148HP AUT R18,2017,AUT,Gasolina,4,148,2.0,AUTOS COMPACTOS,15.40,21.00,17.50,13.13,178.00,4.00,8,9
SEAT,TOLEDO,SEDAN 4PUERTAS 1.4L 4CIL 122HP DSG TURBO,2015,DSG,Gasolina,4,122,1.4,AUTOS COMPACTOS,15.30,24.70,18.46,13.85,168.00,82.00,8,4
SEAT,TOLEDO,4PTAS 1.6L 4CIL110HP TIP,2016,TIPT,Gasolina,4,110,1.6,AUTOS COMPACTOS,15.30,26.70,18.94,14.20,164.00,13.00,8,8
SEAT,TOLEDO,4PTAS 1.6L 4CIL110HP TIP,2017,TIPT,Gasolina,4,110,1.6,AUTOS COMPACTOS,15.30,26.70,18.94,14.20,164.00,13.00,8,8
SEAT,TOLEDO,4PTS 1.4L 4CIL 122HP DSG TURBO,2013,DSG,Gasolina,4,122,1.4,AUTOS COMPACTOS,15.25,24.67,18.41,13.81,169.00,82.00,8,4
HYUNDAI,ELANTRA,FWD 4PTAS 2.0L 4CIL 150HP AUT,2017,AUT,Gasolina,4,150,2.0,AUTOS COMPACTOS,15.23,24.83,18.44,13.83,169.00,24.00,8,7
HYUNDAI,ELANTRA,4PTAS 2.0L 4CIL 150HP AUT,2018,AUT,Gasolina,4,150,2.0,AUTOS COMPACTOS,15.23,24.83,18.44,13.83,169.00,24.00,8,7
FORD,FOCUS,HATCHBACK 5PTS 2.0L 4CIL 160HP AUT,2012,AUT,Gasolina,4,160,2.0,AUTOS COMPACTOS,15.20,22.80,17.88,13.41,174.00,16.00,8,8
FORD,FOCUS,SEDAN 4PTS 2.0L 4CIL 160HP AUT,2012,AUT,Gasolina,4,160,2.0,AUTOS COMPACTOS,15.20,22.80,17.88,13.41,174.00,16.00,8,8
FORD,FOCUS,HATCHBACK 5PTS 2.0L 4CIL 160HP AUT,2013,AUT,Gasolina,4,160,2.0,AUTOS COMPACTOS,15.20,22.80,17.88,13.41,174.00,19.00,8,8
FORD,FOCUS,SEDAN 4PTS 2.0L 4CIL 160HP AUT,2013,AUT,Gasolina,4,160,2.0,AUTOS COMPACTOS,15.20,22.80,17.88,13.41,174.00,19.00,8,8
NISSAN,SENTRA,4PTS 1.8L 4CIL 129HP CVT,2017,CVT,Gasolina,4,129,1.8,AUTOS COMPACTOS,15.20,23.50,18.07,13.55,172.00,19.00,8,7
VW,GOLF,A7 5PTAS 1.4L 4CIL 150HP MAN TURBO FSI,2016,MAN,Gasolina,4,150,1.4,AUTOS COMPACTOS,15.20,24.70,18.38,13.79,169.00,26.00,8,6
VW,GOLF,A7 5PTAS 1.4L 4CIL 150HP MAN TURBO FSI,2017,MAN,Gasolina,4,150,1.4,AUTOS COMPACTOS,15.20,24.70,18.38,13.79,169.00,26.00,8,6
FIAT,DOBLO,5PTS 1.6L 4CIL 105HP MAN TURBO DIESEL,2012,MAN,Diesel,4,105,1.6,AUTOS COMPACTOS,15.10,20.40,18.47,13.85,194.00,248.00,7,?
FIAT,DOBLO,5PTS 1.6L 4CIL 105HP MAN TURBO DIESEL,2012,MAN,Diesel,4,105,1.6,AUTOS COMPACTOS,15.10,20.40,18.47,13.85,194.00,248.00,7,?
FIAT,DOBLO,6PTS 1.6L 4CIL 105HP MAN TURBO DIESEL,2013,MAN,Diesel,4,105,1.6,AUTOS COMPACTOS,15.10,20.40,18.47,13.85,194.00,248.00,7,?
FIAT,DOBLO,6PTS 1.6L 4CIL 105HP MAN TURBO DIESEL,2013,MAN,Diesel,4,105,1.6,AUTOS COMPACTOS,15.10,20.40,18.47,13.85,194.00,248.00,7,?
MITSUBISHI,LANCER,4PTAS 2.0L 4CIL 152HP MAN,2016,MAN,Gasolina,4,152,2.0,AUTOS COMPACTOS,15.10,23.23,17.92,13.44,173.00,15.00,8,8
NISSAN,VERSA,SEDAN 4PTS 1.6L 4CIL 106HP MAN,2012,MAN,Gasolina,4,106,1.6,AUTOS COMPACTOS,15.00,21.10,18.61,13.96,167.00,18.00,8,?
NISSAN,VERSA,SEDAN 4PTS 1.6L 4CIL 106HP MAN,2013,MAN,Gasolina,4,106,1.6,AUTOS COMPACTOS,15.00,21.10,18.61,13.96,167.00,18.00,8,?
MAZDA,MAZDA3,HATCHBACK 5PTS 2.0L 4CIL 153HP MAN,2014,MAN,Gasolina,4,153,2.0,AUTOS COMPACTOS,15.00,23.00,19.14,14.36,162.00,5.00,8,9
NISSAN,VERSA,SEDAN 4PTS 1.6L 4CIL 106HP MAN,2015,MAN,Gasolina,4,106,1.6,AUTOS COMPACTOS,15.00,21.10,18.61,13.96,167.00,18.00,8,?
MAZDA,MAZDA3,HATCHBACK 5PTS 2.0L 4CIL 155HP MAN,2015,MAN,Gasolina,4,155,2.0,AUTOS COMPACTOS,15.00,23.00,19.14,14.36,162.00,5.00,8,9
NISSAN,VERSA,SEDAN 4PTS 1.6L 4CIL 106HP MAN,2016,MAN,Gasolina,4,106,1.6,AUTOS COMPACTOS,15.00,21.10,18.61,13.96,167.00,18.00,8,?
MAZDA,MAZDA3,HATCHBACK 5PTS 2.0L 4CIL 155HP MAN,2016,MAN,Gasolina,4,155,2.0,AUTOS COMPACTOS,15.00,23.00,19.14,14.36,162.00,5.00,8,9
MAZDA,MAZDA3,i 4PTAS 2.0L 4CIL 155HP MAN,2017,MAN,Gasolina,4,155,2.0,AUTOS COMPACTOS,15.00,23.20,19.20,14.40,162.00,5.00,8,9
MAZDA,MAZDA3,i 5PTAS 2.0L 4CIL 155HP MAN,2017,MAN,Gasolina,4,155,2.0,AUTOS COMPACTOS,15.00,23.00,19.14,14.36,162.00,7.00,8,9
CHEVROLET,CRUZE,PREMIER 4PTAS 1.4L 4CIL 148HP TURBO AUT,2018,AUT,Gasolina,4,148,1.4,AUTOS COMPACTOS,14.97,23.78,17.97,13.48,173.00,9.00,8,9
NISSAN,TIIDA,SEDAN 4PTS 1.6L 4CIL 106HP MAN,2013,MAN,Gasolina,4,106,1.6,AUTOS COMPACTOS,14.94,20.66,17.07,12.80,182.00,20.00,8,7
NISSAN,TIIDA,SEDAN 4PTS 1.6L 4CIL 106HP MAN,2014,MAN,Gasolina,4,106,1.6,AUTOS COMPACTOS,14.94,20.66,18.44,13.83,169.00,20.00,8,?
NISSAN,TIIDA,4PTAS 1.6L 4CIL 106HP MAN,2016,MAN,Gasolina,4,106,1.6,AUTOS COMPACTOS,14.94,20.66,17.07,12.80,182.00,20.00,8,7
FIAT,DOBLO,5PTS 1.6L 4CIL 105HP MAN TURBO DIESEL,2012,MAN,Diesel,4,105,1.6,AUTOS COMPACTOS,14.90,21.30,18.60,13.95,192.00,248.00,7,?
FIAT,DOBLO,6PTS 1.6L 4CIL 105HP MAN TURBO DIESEL,2013,MAN,Diesel,4,105,1.6,AUTOS COMPACTOS,14.90,21.30,18.60,13.95,192.00,248.00,7,?
NISSAN,TIIDA,SEDAN 4PTS 1.6L 4CIL 106HP MAN,2015,MAN,Gasolina,4,106,1.6,AUTOS COMPACTOS,14.90,20.66,18.41,13.81,169.00,20.00,8,?
KIA,SOUL,5PTAS 1.6L 4CIL 122HP MAN,2017,MAN,Gasolina,4,122,1.6,AUTOS COMPACTOS,14.85,18.59,17.71,13.28,176.00,30.00,8,?
KIA,SOUL,5PTAS 1.6L 4CIL 201HP TURBO AUT DCT,2017,AUT,Gasolina,4,201,1.6,AUTOS COMPACTOS,14.85,19.13,17.89,13.42,174.00,80.00,8,?
KIA,SOUL,5PTAS 1.6L 4CIL 122HP MAN,2018,MAN,Gasolina,4,122,1.6,AUTOS COMPACTOS,14.85,18.59,17.71,13.28,176.00,30.00,8,?
KIA,SOUL,5PTAS 1.6L 4CIL 201HP TURBO AUT DCT,2018,AUT,Gasolina,4,201,1.6,AUTOS COMPACTOS,14.85,19.13,17.89,13.42,174.00,80.00,8,?
NISSAN,JUKE,5PTS 1.6L 4CIL 188HP CVT TURBO,2014,CVT,Gasolina,4,188,1.6,AUTOS COMPACTOS,14.80,19.30,16.53,12.40,188.00,13.00,7,8
NISSAN,JUKE,5PTS 1.6L 4CIL 188HP CVT TURBO,2015,CVT,Gasolina,4,188,1.6,AUTOS COMPACTOS,14.80,19.30,16.53,12.40,188.00,13.00,7,8
MAZDA,MAZDA2,HATCHBACK 5PTS 1.5L 4CIL 102HP MAN,2015,MAN,Gasolina,4,102,1.5,AUTOS COMPACTOS,14.80,19.90,18.11,13.58,172.00,8.00,8,9
SEAT,TOLEDO,SEDAN 4PUERTAS 1.6L 4CIL 105HP TIP,2015,TIPTRONIC,Gasolina,4,105,1.6,AUTOS COMPACTOS,14.80,25.20,18.18,13.63,171.00,41.00,8,6
NISSAN,JUKE,5PTS 1.6L 4CIL 188HP AUT (CVT) TURBO,2016,CVT,Gasolina,4,188,1.6,AUTOS COMPACTOS,14.80,19.30,16.53,12.40,188.00,13.00,7,8
CHEVROLET,MALIBU,4PTS 1.5L 4CIL 160HP AUT TURBO,2016,AUT,Gasolina,4,160,1.5,AUTOS COMPACTOS,14.80,22.50,17.49,13.12,178.00,4.00,8,9
CHEVROLET,MALIBU,LS 4PTAS 1.5L 4CIL 160HP AUT TURBO,2017,AUT,Gasolina,4,160,1.5,AUTOS COMPACTOS,14.79,22.49,17.49,13.11,178.00,4.00,8,9
CHEVROLET,MALIBU,LT 4PTAS 1.5L 4CIL 16HP AUT TURBO,2017,AUT,Gasolina,4,160,1.5,AUTOS COMPACTOS,14.79,22.49,17.49,13.11,178.00,4.00,8,9
VW,GOLF,5PTS 1.4L 4CIL 160HP DSG FSI TURBO,2013,DSG,Gasolina,4,160,1.4,AUTOS COMPACTOS,14.70,23.63,17.71,13.28,176.00,25.00,8,6
VW,JETTA,MKVI 4PTS 2.0L 4CIL 140HP DSG TDI,2011,DSG,Diesel,4,140,2.0,AUTOS COMPACTOS,14.70,21.73,18.57,13.93,192.00,178.00,7,?
VW,JETTA,MKVI 4PTS 2.0L 4CIL 140HP MAN TDI,2011,M6,Diesel,4,140,2.0,AUTOS COMPACTOS,14.70,21.73,18.57,13.93,192.00,178.00,7,?
VW,GOLF,SPORTWAGEN 4PTS 2.0L 4CIL 140HP DSG TDI,2011,DSG,Diesel,4,140,2.0,AUTOS COMPACTOS,14.70,21.73,18.57,13.93,192.00,176.00,7,?
VW,GOLF,SPORTWAGEN 4PTS 2.0L 4CIL 140HP MAN TDI,2011,M6,Diesel,4,140,2.0,AUTOS COMPACTOS,14.70,21.73,18.57,13.93,192.00,176.00,7,?
FORD,FOCUS,HATBACHBACK 5PTAS 2.0L 4CIL 160HP AUT,2017,AUT,Gasolina,4,160,2.0,AUTOS COMPACTOS,14.70,24.34,17.89,13.41,174.00,18.00,8,8
FORD,FOCUS,SEDAN 4PTAS 2.0L 4CIL 160HP AUT,2017,AUT,Gasolina,4,160,2.0,AUTOS COMPACTOS,14.70,24.34,17.89,13.41,174.00,18.00,8,8
FORD,FOCUS,4/5PTAS 2.0L 4CIL 160HP AUT,2018,AUT,Gasolina,4,160,2.0,AUTOS COMPACTOS,14.70,24.34,17.89,13.41,174.00,18.00,8,8
FORD,FOCUS,HATCHBACK 5PTS 2.0L 4CIL 160HP AUT,2014,AUT,Gasolina,4,160,2.0,AUTOS COMPACTOS,14.66,22.56,17.40,13.05,179.00,19.00,8,8
FORD,FOCUS,SEDAN 4PTS 2.0L 4CIL 160HP AUT,2014,AUT,Gasolina,4,160,2.0,AUTOS COMPACTOS,14.66,22.56,17.40,13.05,179.00,19.00,8,8
FORD,FOCUS,ST 5PTS 2.0L 4CIL 250HP MAN TURBO,2014,MAN,Gasolina,4,250,2.0,AUTOS COMPACTOS,14.66,22.56,18.77,14.08,166.00,10.00,8,9
FORD,FOCUS,4/5PTS 2.0L 4CIL 160HP AUT,2015,AUT,Gasolina,4,160,2.0,AUTOS COMPACTOS,14.66,22.56,17.40,13.05,179.00,19.00,8,8
